,dateTime,event,Score
52,2021-07-01 16:19:31,monmouth real estate investment corporation declares 0_18 dividend,0.0
53,2021-07-01 16:17:51,alamo group inc declares 0_14 dividend,0.0
54,2021-07-01 16:16:56,merck to withdraw us accelerated approval indication for keytruda in gastric cancer,-0.3182
55,2021-07-01 16:16:54,umh properties inc declares 0_19 dividend,0.0
56,2021-07-01 16:14:50,invesco credit opportunities fund declares missing dividend,0.4588
57,2021-07-01 16:12:52,diamondrock hospitality closes disposition of lexington hotel for 1853m,0.0
58,2021-07-01 16:12:46,zentalis pharma closes equity offering raises 173m,0.0
59,2021-07-01 16:11:56,azz inc declares 0_17 dividend,0.0
60,2021-07-01 16:11:03,bioasis technologies appoints new finance chief,0.0
61,2021-07-01 16:10:51,bank ozk declares 0_28 dividend,0.0
62,2021-07-01 16:07:39,prestige consumer healthcare completes theratears acquisition,0.0
63,2021-07-01 16:05:52,sp 500 leads dow nasdaq as indexes kick off third quarter with gains,0.34
64,2021-07-01 16:05:08,chicken soup for the soul proposes stock offering,0.0
65,2021-07-01 16:04:13,templeton global income fund declares missing dividend,-0.296
66,2021-07-01 16:03:54,ventas cut to neutral at bofa citing mixed views on new senior acquisition,-0.2732
67,2021-07-01 16:03:10,templeton emerging markets income fund declares missing dividend,-0.296
68,2021-07-01 16:00:43,averages end at another record highs as wall street kicked off 2h of 2021 on a positive note,0.5574
69,2021-07-01 16:00:30,cooper companies added to stifel select list price target boosted,0.3612
70,2021-07-01 15:56:49,apple reportedly piloting hybrid work for retail staff,0.0
71,2021-07-01 15:55:11,edison cut at keybanc with no catalysts ahead to narrow price discount,-0.5106
72,2021-07-01 15:48:05,regeneron scientists discover genetic mutations associated with obesity protection,0.0
73,2021-07-01 15:46:21,us commerce secretary gina raimondo many service and retail jobs might not return after covid,0.0
74,2021-07-01 15:33:58,interactive brokers reports 33 growth in june darts,0.3818
75,2021-07-01 15:28:59,enbridges tetco pipeline may be closer to returning to full service,0.0
76,2021-07-01 15:15:41,3d systems among tech gainers c3 ai joins decliners in first half of 2021,0.0
77,2021-07-01 15:12:20,marin software tops tech gainers micro focus international and verb technology among losers,-0.0258
78,2021-07-01 15:10:26,virginia blazes to 1b in sports bets at record pace,0.0
79,2021-07-01 15:06:27,feds harker would like tapering to begin this year,0.3612
80,2021-07-01 15:00:14,on the hour,0.0
81,2021-07-01 14:58:26,cathie woods flagship fund arkk is among the top 10 best performing etfs for the month of june,0.7506
82,2021-07-01 14:57:44,subaru of america reports sales growth of 205 in june,0.3818
83,2021-07-01 14:55:01,sandvik signs deal to acquire us cadcam software company,0.0
84,2021-07-01 14:51:05,mitsubishi motors north america sales expanded 106 in q2,0.0
85,2021-07-01 14:50:48,eisai and lilly among top h1 gainers in big pharma as viatris and merck trail,0.2023
86,2021-07-01 14:45:24,mgm resorts raises cash for digital investments with citycenter deal,0.0
87,2021-07-01 14:44:40,kia america sales up 431 in june,-0.6369
88,2021-07-01 14:42:15,conocophillips wins wall street love after returns focused update,0.8885
89,2021-07-01 14:31:41,volkswagens us sales up 72 in q2,0.0
90,2021-07-01 14:26:59,qad declares goes ex dividend tomorrow,0.0
91,2021-07-01 14:25:42,invesco credit opportunities fund declares dividend,0.6369
92,2021-07-01 14:25:21,cbdmd raises 165m via preferred stock offering,0.0
93,2021-07-01 14:22:08,erie indemnity goes ex dividend tomorrow,0.0
94,2021-07-01 14:20:53,cameco evacuates cigar lake on precaution due to wildfire shares resume trading post halt,0.296
95,2021-07-01 14:18:10,electric vehicle stocks fall as investors eye competitive backdrop,0.1779
96,2021-07-01 14:16:46,invesco senior income trust declares dividend,0.5106
97,2021-07-01 14:10:49,tectonic financial acquires integra funding solutions in cash stock deal,0.1779
98,2021-07-01 14:09:54,turkish e commerce platform hepsiburada opened at 1275 rise more than 9 in its debut session,0.0
99,2021-07-01 14:07:58,google messages to become default messaging on atts us android phones,0.0
100,2021-07-01 14:07:22,invesco municipal trust declares dividend,0.5106
101,2021-07-01 14:03:44,cameco evacuates cigar lake mine as wildfire precaution,0.0
102,2021-07-01 14:03:14,invesco municipal opportunity trust declares dividend,0.7269
103,2021-07-01 14:01:10,invesco quality municipal income trust declares dividend,0.5106
104,2021-07-01 14:00:16,new concept energy us silica holdings lead energy gainers dte energy vertex energy among major losers,0.4033
105,2021-07-01 14:00:03,on the hour,0.0
106,2021-07-01 13:59:39,invesco trust for investment grade new york municipals declares dividend,0.5106
107,2021-07-01 13:57:11,invesco municipal income opportunities trust declares dividend,0.7096
108,2021-07-01 13:56:41,krispy kreme reverses loss and gains,0.0258
109,2021-07-01 13:53:52,dell led cloud infrastructure vendors as q1 spending stayed strong,0.5106
110,2021-07-01 13:52:57,national beverage clipped at cfra after earnings,0.0
111,2021-07-01 13:52:16,lumber expert price bounce likely in next two or three weeks,0.0
112,2021-07-01 13:50:57,invesco california value municipal income trust declares dividend,0.6908
113,2021-07-01 13:46:45,invesco advantage municipal income trust ii declares dividend,0.6486
114,2021-07-01 13:42:05,invesco value municipal income trust declares 1_50 dividend,0.6908
115,2021-07-01 13:38:47,micron ceo sanjay mehrotra sees chip shortage lasting into 2022,-0.25
116,2021-07-01 13:28:26,robinhood files for nasdaq ipo,0.0
117,2021-07-01 13:23:33,abb plans ipo of ev charging unit next year reuters,0.0
118,2021-07-01 13:23:25,banco bradesco goes ex dividend tomorrow,0.0
119,2021-07-01 13:21:37,zynga gains on vague takeover speculation,0.25
120,2021-07-01 13:16:58,sp 500 dow jones are still up nasdaq dented by chip stocks,0.0
121,2021-07-01 13:16:09,igc sgoc among industrial gainers sdh tsp lead the losers,-0.5267
122,2021-07-01 13:16:05,amazon adds earths best employer goal to leadership principles,0.7096
123,2021-07-01 13:13:17,washington prime group and acres commercial realty among financial gainers nam tai property leads losers,-0.5267
124,2021-07-01 13:09:27,apple opens its app store to marijuana delivery companies,0.0
125,2021-07-01 13:06:27,mfgp nvcr slca and ctxr among midday movers,0.0
126,2021-07-01 13:05:22,chamath palihapitiya healthcare spacs ipo,0.0
127,2021-07-01 13:04:55,brixmor property goes ex dividend tomorrow,0.0
128,2021-07-01 13:00:27,on the hour,0.0
129,2021-07-01 12:59:01,proposed dominion wind farm offshore virginia set for federal review,0.0
130,2021-07-01 12:57:21,total new vehicle sales estimated to rise 16 truecar,0.0
131,2021-07-01 12:55:37,focus financial raises 800m loan,0.0
132,2021-07-01 12:45:12,b riley boosts targets for riot blockchain and marathon digital sees less competition,-0.3182
133,2021-07-01 12:43:58,needham trims disney estimates noting park costs movie slate slowdown,0.0
134,2021-07-01 12:40:49,pressure biosciences highlights the processing of astaxanthin using its platform,-0.296
135,2021-07-01 12:39:14,ibms kyndryl spinoff unveils operating structure,0.0
136,2021-07-01 12:35:25,crude oil climbs as opec panel sees rest of year gradual production gains,-0.3182
137,2021-07-01 12:34:22,hive blockchain technologies buys 66m of nvidia gpus,0.0
138,2021-07-01 12:33:25,data443 risk mitigation goes for reverse stock split,-0.2732
139,2021-07-01 12:32:56,retail stocks gain after improved nrf forecast torrid rallies on strong debut,0.8689
140,2021-07-01 12:31:32,steelcase goes ex dividend tomorrow,0.0
141,2021-07-01 12:24:57,mccormick ceo work from home reopening restaurants boosted results,0.3612
142,2021-07-01 12:22:33,cushman wakefield arranges 1227m refinancing of seattle mixed use property,0.0
143,2021-07-01 12:21:34,israeli micro cap opened at 16 double than its ipo price of 8,0.0
144,2021-07-01 12:20:38,zymeworks nears session highs on takeover speculation,0.0
145,2021-07-01 12:12:17,coinbase global measured at market perform at keefe bruyette woods,0.0
146,2021-07-01 12:11:57,evercommerce gains 11 in first day of trading,0.34
147,2021-07-01 12:08:35,medivir names malene jensen as vp clinical development,0.0
148,2021-07-01 12:06:43,bts openreach offers price lock to wholesale customers to build out network,0.0
149,2021-07-01 12:05:10,hyundai us retail sales up 36 in june eco friendly vehicles 639,0.4939
150,2021-07-01 12:03:49,birks group and fiesta restaurant among consumer gainers 1stdibscom among losers,-0.0772
151,2021-07-01 12:02:40,pnc financial services group inc declares 1_25 dividend,0.0
152,2021-07-01 12:00:19,on the hour,0.0
153,2021-07-01 11:59:31,acumen pharma focused on alzheimers jumps over a third on trading debut,0.3818
154,2021-07-01 11:51:30,enterprise products buys ethylene storage business from nova chemicals,0.0
155,2021-07-01 11:51:06,eisai shares rise after dayvigos hong kong launch,0.296
156,2021-07-01 11:50:26,torrid opens strong as mall stock looks appealing to investors,0.5106
157,2021-07-01 11:47:05,ispecimen falls 7 despite raising additional 27m from underwriters of ipo,0.0
158,2021-07-01 11:39:00,toyota us sales up 398 in june,0.0
159,2021-07-01 11:38:14,walgreens drops as q4 estimates disappoint analysts,-0.4019
160,2021-07-01 11:34:26,dte energy spinoff starts nyse trading credit suisse starts at outperform,0.5719
161,2021-07-01 11:33:18,fat brands prices 350m in whole business securitization transaction,0.0516
162,2021-07-01 11:29:23,crypto hedge fund moves into cash after its stalwart trade falters bloomberg,0.0
163,2021-07-01 11:28:19,coty relaunches kylie cosmetics with improved vegan formulas,0.4767
164,2021-07-01 11:19:51,hertz emerges from bankruptcy leaner and with eyes on profits,0.4404
165,2021-07-01 11:15:02,netflix rises 1 as cowen reiterates buy ahead of earnings,0.0
166,2021-07-01 11:13:42,payoneer drops after new short report from the bear cave,0.0
167,2021-07-01 11:11:29,mazda us sales 287 and canada sales 38 in june,0.0
168,2021-07-01 11:05:48,porsche north america ceo on production bottlenecks working to bring cars a bit faster,0.0
169,2021-07-01 11:05:38,alterity therapeutics trxade health leads healthcare gainers citius pharmaceuticals aligos therapeutics among major losers,-0.5709
170,2021-07-01 11:03:37,general motors announces us retail sales growth of 406 in q2,0.3818
171,2021-07-01 11:00:58,on the hour,0.0
172,2021-07-01 10:48:47,workhorse group pubmatic arcimoto and clover health make the list of highly shorted stocks heading into q3,0.0
173,2021-07-01 10:45:47,bombardier skies on winning 452m deal for 10 business jets,0.5267
174,2021-07-01 10:44:29,innovator etfs has launched a fund that provides downside protection to spdr sp 500 etf trust spy,0.4215
175,2021-07-01 10:37:46,new providence asset management to be a part of focus partner firm the colony group,0.3612
176,2021-07-01 10:35:31,transfix triumphpay team up for improved payment solutions for freight carriers,0.5859
177,2021-07-01 10:35:04,national retail federation issues huge boost to retail sales forecast,0.6124
178,2021-07-01 10:34:31,petrochina sinopec see strong rebound in h1 income,0.5106
179,2021-07-01 10:30:27,natural gas inventory build slightly above estimates,0.3612
180,2021-07-01 10:28:17,vertex initiated at raymond james altimmune price target lowered and more in analyst action,-0.128
181,2021-07-01 10:25:16,clover health trades lower as reddit interest wanes,0.2023
182,2021-07-01 10:21:44,mortgage rates inch down below 3,0.0
183,2021-07-01 10:19:02,zoominfo leandata collaborate to improve speed accurate of lead delivery,0.4404
184,2021-07-01 10:18:35,h b fuller company declares 0_1675 dividend,0.0
185,2021-07-01 10:15:37,sony acquires dutch game studio nixxes to boost exclusives,0.4019
186,2021-07-01 10:13:44,equitable introduces additional services to group retirement plans for smbs,0.0
187,2021-07-01 10:11:03,peloton interactive revenue said to tracking ahead of guidance,0.0
188,2021-07-01 10:05:45,veon exercises option to sell stake in algerias djezzy,0.0
189,2021-07-01 10:05:44,apollo global confirms talks with motive partners to acquire a minority stake,0.0
190,2021-07-01 10:05:24,biotage ab appoints new finance chief,0.0
191,2021-07-01 10:03:15,construction spending 03 in may,0.0
192,2021-07-01 10:02:00,ism manufacturing pmi slips more than expected in june,0.0
193,2021-07-01 10:00:01,on the hour,0.0
194,2021-07-01 09:58:56,cf industries seeks us investigation of russian uan imports,0.0
195,2021-07-01 09:53:56,stmicroelectronics feig eectronic collaborate on cost efficient logistics solution,0.6249
196,2021-07-01 09:50:41,intellia therapeutics stock has more than doubled in value so has insider selling,0.34
197,2021-07-01 09:49:52,tyler technologies inks multi year deal with fcb to improve online services,0.4404
198,2021-07-01 09:49:09,greenbox pos acquires northeast merchant services,0.0
199,2021-07-01 09:46:35,june pmi at 621 unchanged from may levels,0.0
200,2021-07-01 09:45:35,gse systems receives 12m new order to deliver simulation solution for energy utility in saudi arabia,0.5267
201,2021-07-01 09:45:10,blue origin adds legendary female pilot to first spaceflight,0.0
202,2021-07-01 09:44:20,drug product manufacture of modernas covid 19 vaccine starts in recipharm france site,0.0
203,2021-07-01 09:43:30,neonodes touch sensor modules selected by japan based global airport solution provider,0.3182
204,2021-07-01 09:41:56,saba capital income and opportunities fund declares 0_033 dividend,0.3818
205,2021-07-01 09:40:37,market wary again as sp 500 dow jones edge up nasdaq slips,0.0
206,2021-07-01 09:36:42,ltc properties inc declares 0_19 dividend,0.0
207,2021-07-01 09:34:41,nano dimension forms a joint venture with hensoldt ag for advancing prototyping and sharing 3d electronic printing designs,0.4215
208,2021-07-01 09:33:30,1life healthcare accidentally releases about 1000 of its customer names in email,-0.34
209,2021-07-01 09:33:05,perma fix secures contract for tritium systemsdisposal project,0.3182
210,2021-07-01 09:32:31,eco wave power global prices 8m offering and announces nasdaq listing,0.0
211,2021-07-01 09:31:06,kyle bass private crypto market is going have some difficult moments in 2022 because of china,-0.3612
212,2021-07-01 09:29:42,wideopenwest stock gains 4 as raymond james names strong buy after deal,0.6908
213,2021-07-01 09:29:38,two senators seek info on how blackrock state street cast proxy votes,0.0
214,2021-07-01 09:29:23,fast acquisition rallies after landing more restaurant assets in fertitta deal,0.2449
215,2021-07-01 09:28:55,medolife rx completes escozine stability study,0.0
216,2021-07-01 09:28:31,central garden pet acquires bird feed company dd,0.0
217,2021-07-01 09:27:42,roche to seek early fda approval for alzheimers therapy jefferies,0.4767
218,2021-07-01 09:27:28,interpublic launches ipg health,0.0
219,2021-07-01 09:27:10,iea wins 70m wind farm repowering project,0.5719
220,2021-07-01 09:26:25,magnite acquires ad serving technology springserve for 31m,0.0
221,2021-07-01 09:26:02,kratos defense and rocket division secures contract to develop hypersonic flight test vehicles,0.4215
222,2021-07-01 09:25:32,crude oil big oil names surge as opec weighs production increase,-0.34
223,2021-07-01 09:25:20,american financial group inc declares 0_50 dividend,0.0
224,2021-07-01 09:23:10,doubleline yield opportunities fund declares 0_1167 dividend,0.3818
225,2021-07-01 09:23:08,zoned properties names berekk blackwell as coo,0.0
226,2021-07-01 09:22:25,bed bath beyond rallies after b riley upgrades on strong fundamentals,0.5106
227,2021-07-01 09:22:20,doubleline income solutions fund declares 0_11 dividend,0.1779
228,2021-07-01 09:21:07,varex launches partial redemption of senior secured notes,0.4019
229,2021-07-01 09:18:27,philips says first patient treated with verisight pro,0.0
230,2021-07-01 09:18:20,citius pharma stock tanks 16 despite positive dmc recommendation to continue late stage mino lok trial,-0.4449
231,2021-07-01 09:17:45,doubleline opportunistic credit fund declares 0_11 dividend,0.3612
232,2021-07-01 09:16:52,german american bancorp appoints d neil dauby as president ceo,0.0
233,2021-07-01 09:16:41,pds biotechnology added to russell microcap index,0.0
234,2021-07-01 09:16:27,g3 vrm acquisition prices ipo to raise 100m,0.0
235,2021-07-01 09:15:51,h1 breakdown h2 outlook,0.0
236,2021-07-01 09:15:05,the glimpse group prices 123m ipo,0.0
237,2021-07-01 09:14:07,accenture scoops up cs technology terms not disclosed,0.0
238,2021-07-01 09:12:25,first american acquires georgetown title,0.0
239,2021-07-01 09:09:11,heron therapeutics launches zynrelef in the us,0.0258
240,2021-07-01 09:08:19,gap pushes higher again as wells fargo says yeezy launch could be worth 10 per share,0.6249
241,2021-07-01 09:05:58,forterra acquires barbour concrete company terms not disclosed,0.0
242,2021-07-01 09:05:16,macondray capital acquisition corp i prices 250m ipo,0.0
243,2021-07-01 09:05:07,take two interactive software acquires facial animation services company dynamixyz,0.0
244,2021-07-01 09:01:43,acurx posts new ibezapolstat data on anti recurrence mechanisms in cdi,-0.3182
245,2021-07-01 09:00:44,on the hour,0.0
246,2021-07-01 09:00:21,iteris nabs two contracts worth 15m in california,0.2263
247,2021-07-01 09:00:12,magal security completes business segment sales to change name to senstar technologies,0.34
248,2021-07-01 08:59:33,safe t stock gains on acquisition of saas security provider cyberkick,0.7717
249,2021-07-01 08:59:31,robinhood to allocate 35 of ipo shares to retail investors,0.296
250,2021-07-01 08:59:00,first hawaiian upgraded to equal weight from underweight at wells fargo,0.25
251,2021-07-01 08:58:00,piedmont lithium obtains stakes in ironridge resources ghana based portfolio,0.0
252,2021-07-01 08:56:10,hot stocks spro ortx meso rise on drug development collabs earnings for fc and wba,0.0
253,2021-07-01 08:54:14,globalstar and focus international come together to provide crisis assistance services,-0.6249
254,2021-07-01 08:52:54,didi global stock rises in premarket on addition to ftse global indexes,0.0
255,2021-07-01 08:52:34,life storage inc declares 0_74 dividend,0.0
256,2021-07-01 08:50:30,elliott makes recommendations to address years of disappointing performance at gsk,-0.4939
257,2021-07-01 08:48:25,thor industries trades higher after citi points to robust rv trends,0.34
258,2021-07-01 08:48:10,pds biotechnology joins the russell microcap index,0.0
259,2021-07-01 08:48:01,fda approves dose escalation label update for puma biotechnologys nerlynx,0.4019
260,2021-07-01 08:47:04,us physical therapy acquires 65 of equity interests pf practice for 103m,0.25
261,2021-07-01 08:46:23,silgan announces ceo transition,0.0
262,2021-07-01 08:45:13,constellation pharmaceuticals says hsr waiting period expired for its planned sale to morphosys,0.0
263,2021-07-01 08:44:52,zebra tech to acquire fetch robotics for 290 million in cash,0.0
264,2021-07-01 08:42:50,fiesta restaurant to divest taco cabana brand to yadav for 85m,0.4767
265,2021-07-01 08:42:21,marinemax expands in midwest with the acquisition of nisswa marine,0.1027
266,2021-07-01 08:39:34,silgan announces ceo succession plan,0.2023
267,2021-07-01 08:36:33,meritor rallies after citi points to second half catalysts in making tactical call,0.0
268,2021-07-01 08:36:26,qiagen forms strategic alliance with sysmex for cancer companion diagnostics,-0.6597
269,2021-07-01 08:36:15,aqua metals acme sign tentative licensing deal to deploy aquarefining technology in taiwan,0.0
270,2021-07-01 08:36:05,equinors martin linge field begins producing oil gas,0.0
271,2021-07-01 08:35:53,amyris inks exclusive license agreement for rna covid vaccine development,0.5719
272,2021-07-01 08:32:56,ayro gains on debut of first club car current vehicles under karma automotive partnership,0.34
273,2021-07-01 08:32:43,krispy kreme ceo says business model changed since last time the company was public,0.0
274,2021-07-01 08:32:03,aileron therapeutics launches alrn 6924 trial in patients with advanced non small cell lung cancer,-0.5267
275,2021-07-01 08:30:21,jobless claims,0.0
276,2021-07-01 08:29:44,pulse biosciences to raise 50m via private placement,0.0
277,2021-07-01 08:29:40,caterpillar moves into credit suisses top of the crop list,0.5267
278,2021-07-01 08:29:00,retail sector generates big returns for the first half of the year on re opening hopes and reddit buzz,0.4215
279,2021-07-01 08:26:38,celsion gives enrollment update on early stage thermodox pancreatic cancer study,-0.6597
280,2021-07-01 08:26:25,harborone bancorp inc declares 0_05 dividend,0.0
281,2021-07-01 08:24:23,microcaps mostly among premarkets gainers,0.0
282,2021-07-01 08:23:35,apollo global acquires stake in fintech private equity firm motive partners wsj,0.0
283,2021-07-01 08:23:26,ziprecruiter stock climbs after bullish barclays start ahead of job boom,0.0
284,2021-07-01 08:20:31,hewlett packard enterprise acquires zerto for 374m,0.0
285,2021-07-01 08:20:20,novocure curevac newegg commerce among premarket losers pack,-0.5267
286,2021-07-01 08:20:18,kintara shares surge after topline data from mid stage brain cancer study,-0.4939
287,2021-07-01 08:20:01,enrollment underway in achilles therapeutics phase iiia lung cancer study,-0.6597
288,2021-07-01 08:14:58,bio rad in pact with seegene for diagnostic products targeting infections,0.0
289,2021-07-01 08:14:29,entasis therapeutics introduces etx0462 targeting gram negative and biothreat pathogens,-0.5719
290,2021-07-01 08:13:52,aldeyra therapeutics added to russell 3000 index russell 2000 index,0.0
291,2021-07-01 08:13:43,curevac plans to move forward with covid vaccine despite data shares down 13,-0.2235
292,2021-07-01 08:13:14,vine energy amends second lien term loan,0.2732
293,2021-07-01 08:12:34,alterity shares soar on us patent targeting major neurodegenerative diseases,0.296
294,2021-07-01 08:04:25,mallinckrodts acthar gel included in ers treatment guidelines for pulmonary sarcoidosis,0.0
295,2021-07-01 08:04:04,citis corporate investment banking revenue nearly triples since 2018 reuters,0.0
296,2021-07-01 08:03:43,allstate stands out in jpmorgans preview of insurance earnings,0.0
297,2021-07-01 08:00:42,on the hour,0.0
298,2021-07-01 07:58:41,pge seeks 36b in rate hikes from customers for wildfire prevention,0.0
299,2021-07-01 07:57:19,novocure posts final results from mid stage ttfields liver cancer study,-0.6597
300,2021-07-01 07:50:42,preit inks 172m in mortgage loans targets debt maturities extension,-0.3612
301,2021-07-01 07:48:24,walgreens rises on earnings beat and 2021 guidance raise,0.0
302,2021-07-01 07:47:18,stolt nielsen beats on revenue,0.0
303,2021-07-01 07:47:02,nvidia gets street high price target at bmo on data center evolution,0.0
304,2021-07-01 07:44:59,seres therapeutics inks ser 109 commercialization agreement in 525m deal,0.4939
305,2021-07-01 07:41:43,ngm bio amends collaboration with merck to advance medicines for retinal and cvm diseases,0.0
306,2021-07-01 07:40:37,pepsico plans to cut sugar content across beverages in europe,-0.2732
307,2021-07-01 07:38:07,bausch health offloads 150m in debt utilizing cash from operations,-0.3612
308,2021-07-01 07:37:37,costamare inc declares 0_47656 dividend,0.0
309,2021-07-01 07:35:11,blackstone general atlantic lead 15 funding for online training company,0.0
310,2021-07-01 07:34:08,blackstone general atlantic lead 15 funding for online training company,0.0
311,2021-07-01 07:33:15,affimed posts q1 topline beat provides cash runway update,0.0
312,2021-07-01 07:33:08,asgn to divest oxford unit to hig capital affiliate for 525m updates q2 guidance,0.0
313,2021-07-01 07:32:39,watsco inc declares 1_95 dividend,0.0
314,2021-07-01 07:31:17,micron downgraded at summit as memory pricing nears peak,0.0
315,2021-07-01 07:31:17,alpine income property trust closes portfolio acquisition for 445m from cto,0.5106
316,2021-07-01 07:30:49,challenger june job cut down 167 to 20476k,-0.1531
317,2021-07-01 07:27:06,hungarys magyar telekom selects amdocs to modernize its it systems,0.0
318,2021-07-01 07:26:38,nio rallies after showing some acceleration with deliveries,0.0
319,2021-07-01 07:24:40,accenture expands sap capabilities in italy through acquisition of ethica consulting group,0.1027
320,2021-07-01 07:22:06,atlas technical consultants nabs 41m contract for lbnf project,0.0
321,2021-07-01 07:20:23,dosing underway in precision bios early stage pbcar19b study in non hodgkin lymphoma,0.0
322,2021-07-01 07:18:42,credit suisse chairman expects to decide on a new strategy by year end,0.3818
323,2021-07-01 07:18:11,shell plans to exit california joint venture with exxon reuters,0.0
324,2021-07-01 07:14:38,halliburton to redeem 500m of senior notes due 2021 next month,0.0
325,2021-07-01 07:13:48,adidas moves forward with reebok sale with wolverine world wide in the mix,0.0
326,2021-07-01 07:11:00,novavax rises on publication of covid 19 study data in nejm,0.0
327,2021-07-01 07:10:18,alzamend neuro submits al001 application in us for dementia related to alzheimers disease,0.0
328,2021-07-01 07:06:42,simply good foods eps beats by 015 beats on revenue raises fy2021 outlook above consensus,0.4404
329,2021-07-01 07:04:35,acuity brands eps beats 0_49 beats on revenue,0.0
330,2021-07-01 07:03:08,bowling center operator bowlero confirms deal to go public through spac isos acquisition,0.0
331,2021-07-01 07:03:07,walgreens boots eps beats 0_23 beats on revenue,0.0
332,2021-07-01 07:02:57,itt divests the subsidiary holding legacy liabilities to delticus,-0.2023
333,2021-07-01 07:01:43,macau gaming revenue falls in june with restrictions increased,0.2732
334,2021-07-01 07:00:43,on the hour,0.0
335,2021-07-01 06:52:24,chart industries acquires la turbine for 80m in cash,0.0
336,2021-07-01 06:51:13,uk covid 19 cases reach the highest since january as delta variant becomes dominant,0.0258
